ID,Nom,Effet,Rareté,Set
EB01-019,"Off-White","[Counter] Up to 1 of your Leader or Character cards gains+4000 power during this battle. Then, look at 3 cards fromthe top of your deck; reveal up to 1 {Donquixote Pirates}type Character card and add it to your hand. Then, place therest at the bottom of your deck in any order.",R,"-Memorial Collection- [EB-01]"
EB01-020,"Chambres","[Main] If your Leader has the {Supernovas} type, return 1 ofyour Characters to the owner's hand, and play up to 1Character card with a cost of 2 or less from your hand thatis a different color than the returned Character.",C,"-Memorial Collection- [EB-01]"
EB01-021,"Hannyabal","[End of Your Turn] You may return 1 of your {Impel Down}type Characters with a cost of 2 or more to the owner'shand: Add up to 1 DON!! card from your DON!! deck and set itas active.",L,"-Memorial Collection- [EB-01]"
EB01-021_p1,"Hannyabal","[End of Your Turn] You may return 1 of your {Impel Down}type Characters with a cost of 2 or more to the owner'shand: Add up to 1 DON!! card from your DON!! deck and set itas active.",L,"-Memorial Collection- [EB-01]"
EB01-022,"Inazuma","[End of Your Turn] If you have 2 or less cards in your hand,draw 2 cards.",SR,"-Memorial Collection- [EB-01]"
EB01-022_p1,"Inazuma","[End of Your Turn] If you have 2 or less cards in your hand,draw 2 cards.",SR,"-Memorial Collection- [EB-01]"
EB01-023,"Edward Weevil","[On Play] Draw 1 card.",R,"-Memorial Collection- [EB-01]"
EB01-024,"Hamlet","If you have 4 or less cards in your hand, all of your{SMILE} type Characters gain +1000 power.",C,"-Memorial Collection- [EB-01]"
EB01-025,"Fourtricks","-",C,"-Memorial Collection- [EB-01]"
EB01-026,"Prince Bellett","[DON!! x1] [When Attacking] If you have 1 or less cards inyour hand, return up to 1 Character with a cost of 3 or lessto the owner's hand.",C,"-Memorial Collection- [EB-01]"
EB01-027,"Mr.1(Daz.Bonez)","If your Leader's type includes ""Baroque Works"", thisCharacter gains +1000 power for every 2 Events in yourtrash.<br>[On Play] Draw 2 cards and trash 1 card fromyour hand.",R,"-Memorial Collection- [EB-01]"
EB01-027_p1,"Mr.1(Daz.Bonez)","If your Leader's type includes ""Baroque Works"", thisCharacter gains +1000 power for every 2 Events in yourtrash.<br>[On Play] Draw 2 cards and trash 1 card fromyour hand.",R,"-Memorial Collection- [EB-01]"
EB01-028,"Gum-Gum Champion Rifle","[Counter] If your Leader has the {Impel Down} type, up to 1of your Leader or Character cards gains +2000 power duringthis battle. Then, your opponent returns 1 of their activeCharacters to the owner's hand.",R,"-Memorial Collection- [EB-01]"
EB01-029,"Sorry. I'm a Goner.","[Counter] Reveal 1 card from the top of your deck. If therevealed card has a cost of 4 or more, return up to 1 ofyour Characters to the owner's hand. Then, place therevealed card at the bottom of your deck.",C,"-Memorial Collection- [EB-01]"
EB01-030,"Loguetown","[Activate: Main] You may place this card and 1 card fromyour hand at the bottom of your deck in any order: Draw 2cards.",C,"-Memorial Collection- [EB-01]"
EB01-031,"Kalifa","[On Play] DON!! −1 (You may return the specified number ofDON!! cards from your field to your DON!! deck.): If yourLeader has the {Water Seven} type, add up to 2 Charactercards with a cost of 4 or less from your trash to your hand.",R,"-Memorial Collection- [EB-01]"
EB01-031_p1,"Kalifa","[On Play] DON!! −1 (You may return the specified number ofDON!! cards from your field to your DON!! deck.): If yourLeader has the {Water Seven} type, add up to 2 Charactercards with a cost of 4 or less from your trash to your hand.",R,"-Memorial Collection- [EB-01]"
EB01-032,"Army Wolves","-",C,"-Memorial Collection- [EB-01]"
EB01-033,"Blueno","[On Play] DON!! −1 (You may return the specified number ofDON!! cards from your field to your DON!! deck.): If yourLeader has the {Water Seven} type, play up to 1 {WaterSeven} type Character card with a cost of 5 other than[Blueno] from your hand or trash.",R,"-Memorial Collection- [EB-01]"
EB01-034,"Ms. Wednesday","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)<br>[OnYour Opponent's Attack] [Once Per Turn] DON!! −1 (You mayreturn the specified number of DON!! cards from your fieldto your DON!! deck.): If your Leader's type includes""Baroque Works"", add up to 1 DON!! card from your DON!! deckand set it as active.",SR,"-Memorial Collection- [EB-01]"
EB01-034_p1,"Ms. Wednesday","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)<br>[OnYour Opponent's Attack] [Once Per Turn] DON!! −1 (You mayreturn the specified number of DON!! cards from your fieldto your DON!! deck.): If your Leader's type includes""Baroque Works"", add up to 1 DON!! card from your DON!! deckand set it as active.",SR,"-Memorial Collection- [EB-01]"
EB01-035,"Ms. Monday","[On Play] If your Leader's type includes ""Baroque Works"", upto 1 of your Leader or Character cards gains +1000 powerduring this turn.",C,"-Memorial Collection- [EB-01]"
EB01-036,"Minochihuahua","[Rush] (This card can attack on the turn in which it isplayed.)<br>[On K.O.] If your Leader has the {Impel Down}type, add up to 1 DON!! card from your DON!! deck and restit.",C,"-Memorial Collection- [EB-01]"
EB01-037,"Mr. 9","[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (Youmay return the specified number of DON!! cards from yourfield to your DON!! deck.): K.O. up to 1 of your opponent'sCharacters with a cost of 2 or less.",C,"-Memorial Collection- [EB-01]"
EB01-038,"Oh Come My Way","[Counter] DON!! −1 (You may return the specified number ofDON!! cards from your field to your DON!! deck.): If yourLeader's type includes ""Baroque Works"", select 1 of yourCharacters. Change the attack target to the selectedCharacter.",C,"-Memorial Collection- [EB-01]"
EB01-039,"Conquerer of Three Worlds Ragnaraku","[Main] DON!! −1 (You may return the specified number ofDON!! cards from your field to your DON!! deck.): K.O. up to1 of your opponent's Characters with a cost of 8 or less.",R,"-Memorial Collection- [EB-01]"
EB01-040,"Kyros","[Activate: Main] [Once Per Turn] You may turn 1 card fromthe top of your Life cards face-up: K.O. up to 1 of youropponent's Characters with a cost of 0.",L,"-Memorial Collection- [EB-01]"
EB01-040_p1,"Kyros","[Activate: Main] [Once Per Turn] You may turn 1 card fromthe top of your Life cards face-up: K.O. up to 1 of youropponent's Characters with a cost of 0.",L,"-Memorial Collection- [EB-01]"
EB01-041,"Crocus","-",C,"-Memorial Collection- [EB-01]"
EB01-042,"Scarlet","[Activate: Main] You may trash this Character: Play up to 1{Dressrosa} type Character card with a cost of 3 or lessother than [Scarlet] from your hand rested. Then, give up to1 of your opponent's Characters −2 cost during this turn.",R,"-Memorial Collection- [EB-01]"
EB01-043,"Spandine","[On Play] You may place 3 cards with a type including ""CP""from your trash at the bottom of your deck in any order:Play up to 1 Character card with a type including ""CP"" and acost of 4 or less other than [Spandine] from your trashrested.",R,"-Memorial Collection- [EB-01]"
EB01-044,"Funkfreed","[Activate: Main] You may rest this Character: Up to 1 ofyour [Spandam] Characters gains +3000 power during thisturn.",C,"-Memorial Collection- [EB-01]"
EB01-045,"Brook","[On Play] If your opponent has a Character with a cost of 0,this Character gains [Rush] during this turn.<br>(Thiscard can attack on the turn in which it is played.)",C,"-Memorial Collection- [EB-01]"
EB01-046,"Brook","[On Play]/[When Attacking] Give up to 1 of your opponent'sCharacters −1 cost during this turn. Then, K.O. up to 1 ofyour opponent's Characters with a cost of 0.",SR,"-Memorial Collection- [EB-01]"
EB01-046_p1,"Brook","[On Play]/[When Attacking] Give up to 1 of your opponent'sCharacters −1 cost during this turn. Then, K.O. up to 1 ofyour opponent's Characters with a cost of 0.",SR,"-Memorial Collection- [EB-01]"
EB01-047,"Laboon","[Once Per Turn] When a Character is K.O.'d, draw 1 card andtrash 1 card from your hand.",C,"-Memorial Collection- [EB-01]"
EB01-048,"Laboon","[Activate: Main] You may rest this Character: Give up to 1of your opponent's Characters −4 cost during this turn.",SR,"-Memorial Collection- [EB-01]"
EB01-048_p1,"Laboon","[Activate: Main] You may rest this Character: Give up to 1of your opponent's Characters −4 cost during this turn.",SR,"-Memorial Collection- [EB-01]"
EB01-049,"T-Bone","[On Play] K.O. up to 1 of your opponent's Characters with acost of 2 or less.",R,"-Memorial Collection- [EB-01]"
EB01-049_p1,"T-Bone","[On Play] K.O. up to 1 of your opponent's Characters with acost of 2 or less.",R,"-Memorial Collection- [EB-01]"
EB01-050,"...I Want to Live!!","[Counter] If you have 30 or more cards in your trash, add upto 1 card from the top of your deck to the top of your Lifecards.",C,"-Memorial Collection- [EB-01]"
EB01-051,"Finger Pistol","[Main] You may trash 2 cards from the top of your deck: K.O.up to 1 of your opponent's Characters with a cost of 5 orless.",R,"-Memorial Collection- [EB-01]"
EB01-052,"Viola","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)<br>[OnPlay] Choose one:<br>• Look at all of your opponent's Lifecards and place them back in their Life area in anyorder.<br>• Turn all of your Life cards face-down.",SR,"-Memorial Collection- [EB-01]"
EB01-052_p1,"Viola","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)<br>[OnPlay] Choose one:<br>• Look at all of your opponent's Lifecards and place them back in their Life area in anyorder.<br>• Turn all of your Life cards face-down.",SR,"-Memorial Collection- [EB-01]"
EB01-053,"Gastino","[On Play] Place up to 1 of your opponent's Characters with acost of 3 or less at the top or bottom of your opponent'sLife cards face-up.",C,"-Memorial Collection- [EB-01]"
EB01-054,"Gan.Fall","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)<br>[OnPlay] If your opponent has 1 or less Life cards, K.O. up to1 of your opponent's Characters with a cost of 3 or less.",R,"-Memorial Collection- [EB-01]"
EB01-055,"Charlotte Compote","-",C,"-Memorial Collection- [EB-01]"
EB01-056,"Charlotte Flampe","[On Play] You may add 1 card from the top or bottom of yourLife cards to your hand: Draw 1 card.",R,"-Memorial Collection- [EB-01]"
EB01-056_p1,"Charlotte Flampe","[On Play] You may add 1 card from the top or bottom of yourLife cards to your hand: Draw 1 card.",R,"-Memorial Collection- [EB-01]"
EB01-057,"Shirahoshi","When this Character is K.O.'d by your opponent's effect, addup to 1 card from the top of your deck to the top of yourLife cards.<br>[Blocker] (After your opponent declares anattack, you may rest this card to make it the new target ofthe attack.)",SR,"-Memorial Collection- [EB-01]"
EB01-057_p1,"Shirahoshi","When this Character is K.O.'d by your opponent's effect, addup to 1 card from the top of your deck to the top of yourLife cards.<br>[Blocker] (After your opponent declares anattack, you may rest this card to make it the new target ofthe attack.)",SR,"-Memorial Collection- [EB-01]"
EB01-058,"Mont Blanc Cricket","[DON!! x1] [Your Turn] If you have 2 or less Life cards,this Character gains +2000 power.",C,"-Memorial Collection- [EB-01]"
EB01-059,"Kingdom Come","[Main] K.O. up to 1 of your opponent's Characters. Then,trash cards from the top of your Life cards until you have 1Life card.",R,"-Memorial Collection- [EB-01]"
EB01-060,"Did Someone Say...Kami?","[Main] Play up to 1 [Enel] with a cost of 7 or less fromyour hand or trash. Then, trash cards from the top of yourLife cards until you have 1 Life card.",C,"-Memorial Collection- [EB-01]"
EB01-061,"Mr.2.Bon.Kurei(Bentham)","[On Play] Add up to 1 DON!! card from your DON!! deck andset it as active.<br>[When Attacking] Select up to 1 ofyour opponent's Characters. This Character's base powerbecomes the same as the selected Character's power duringthis turn.",SEC,"-Memorial Collection- [EB-01]"
EB01-061_p1,"Mr.2.Bon.Kurei(Bentham)","[On Play] Add up to 1 DON!! card from your DON!! deck andset it as active.<br>[When Attacking] Select up to 1 ofyour opponent's Characters. This Character's base powerbecomes the same as the selected Character's power duringthis turn.",SEC,"-Memorial Collection- [EB-01]"
OP01-001,"Roronoa Zoro","[DON!! x1] [Your Turn] All of your Characters gain +1000 power.",L,"-ROMANCE DAWN- [OP01]"
OP01-001_p1,"Roronoa Zoro","[DON!! x1] [Your Turn] All of your Characters gain +1000 power.",L,"-ROMANCE DAWN- [OP01]"
OP01-001_p2,"Roronoa Zoro","[DON!! x1] [Your Turn] All of your Characters gain +1000power.",L,"Premium Card Collection -25th Edition-"
OP01-002,"Trafalgar Law","[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): If you have 5 Characters, return 1 of your Characters to the owner's hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned Character.",L,"-ROMANCE DAWN- [OP01]"
OP01-002_p1,"Trafalgar Law","[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): If you have 5 Characters, return 1 of your Characters to the owner's hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned Character.",L,"-ROMANCE DAWN- [OP01]"
OP01-003,"Monkey.D.Luffy","[Activate: Main] [Once Per Turn] ➃ (You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your {Supernovas} or {Straw Hat Crew} type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.",L,"-ROMANCE DAWN- [OP01]"
OP01-003_p1,"Monkey.D.Luffy","[Activate: Main] [Once Per Turn] ➃ (You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your {Supernovas} or {Straw Hat Crew} type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.",L,"-ROMANCE DAWN- [OP01]"
OP01-004,"Usopp","[DON!! x1] [Your Turn] [Once Per Turn] Draw 1 card when your opponent activates an Event.",R,"-ROMANCE DAWN- [OP01]"
OP01-005,"Uta","[On Play] Add up to 1 red Character card other than [Uta] with a cost of 3 or less from your trash to your hand.",R,"-ROMANCE DAWN- [OP01]"
OP01-005_p1,"Uta","[On Play] Add up to 1 red Character card other than [Uta] with a cost of 3 or less from your trash to your hand.",R,"Premium Card Collection -FILM RED Edition-"
OP01-005_p2,"Uta","[On Play] Add up to 1 red Character card other than [Uta]with a cost of 3 or less from your trash to your hand.",R,"GIFT COLLECTION 2023 [GC-01]"
OP01-006,"Otama","[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.",UC,"-ROMANCE DAWN- [OP01]"
OP01-006_p2,"Otama","[On Play] Give up to 1 of your opponent's Characters −2000
                    power during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-006_p3,"Otama","[On Play] Give up to 1 of your opponent's Characters −2000
                    power during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-006_p4,"Otama","[On Play] Give up to 1 of your opponent's Characters −2000
                    power during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-006_p5,"Otama","[On Play] Give up to 1 of your opponent's Characters −2000
                    power during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-007,"Caribou","[On K.O.] K.O. up to 1 of your opponent's Characters with 4000 power or less.",C,"-ROMANCE DAWN- [OP01]"
OP01-008,"Cavendish","[On Play] You may add 1 card from your Life area to your hand: This Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",C,"-ROMANCE DAWN- [OP01]"
OP01-008_p1,"Cavendish","[On Play] You may add 1 card from your Life area to your hand: This Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",C,"-ROMANCE DAWN- [OP01]"
OP01-009,"Carrot","[Trigger] Play this card.",C,"-ROMANCE DAWN- [OP01]"
OP01-010,"Komachiyo","-",C,"-ROMANCE DAWN- [OP01]"
OP01-011,"Gordon","[On Play] You may place 1 card from your hand at the bottom of your deck: Draw 1 card.",UC,"-ROMANCE DAWN- [OP01]"
OP01-012,"Sai","-",C,"-ROMANCE DAWN- [OP01]"
OP01-013,"Sanji","[Activate: Main] [Once Per Turn] You may add 1 card from your Life area to your hand: This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards.",R,"-ROMANCE DAWN- [OP01]"
OP01-013_p1,"Sanji","[Activate: Main] [Once Per Turn] You may add 1 card from your Life area to your hand: This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards.",R,"-ROMANCE DAWN- [OP01]"
OP01-013_p2,"Sanji","[Activate: Main] [Once Per Turn] You may add 1 card from thetop of your Life cards to your hand: This Character gains+2000 power during this turn. Then, give this Character upto 2 rested DON!! cards.",R,"Premium Card Collection -25th Edition-"
OP01-013_p3,"Sanji","[Activate: Main] [Once Per Turn] You may add 1 card from thetop of your Life cards to your hand: This Character gains+2000 power during this turn. Then, give this Character upto 2 rested DON!! cards.",R,"GIFT COLLECTION 2023 [GC-01]"
OP01-014,"Jinbe","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[DON!! x1] [On Block] Play up to 1 red Character card with a cost of 2 or less from your hand.",UC,"-ROMANCE DAWN- [OP01]"
OP01-014_p1,"Jinbe","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[DON!! x1] [On Block] Play up to 1 red Character card with a cost of 2 or less from your hand.",UC,"Premium Card Collection -FILM RED Edition-"
OP01-015,"Tony Tony.Chopper","[DON!! x1] [When Attacking] You may trash 1 card from your hand: Add up to 1 {Straw Hat Crew} type Character card other than [Tony Tony.Chopper] with a cost of 4 or less from your trash to your hand.",UC,"-ROMANCE DAWN- [OP01]"
OP01-016,"Nami","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-ROMANCE DAWN- [OP01]"
OP01-016_p1,"Nami","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-ROMANCE DAWN- [OP01]"
OP01-016_p2,"Nami","[On Play] Look at 5 cards from the top of your deck; revealup to 1 {Straw Hat Crew} type card other than [Nami] and addit to your hand. Then, place the rest at the bottom of yourdeck in any order.",R,"Premium Card Collection -25th Edition-"
OP01-016_p3,"Nami","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-The Three Captains-[ST-10]"
OP01-016_p4,"Nami","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",SP CARD,"OP-05"
OP01-016_p5,"Nami","[On Play] Look at 5 cards from the top of your deck; revealup to 1 {Straw Hat Crew} type card other than [Nami] and addit to your hand. Then, place the rest at the bottom of yourdeck in any order.",R,"GIFT COLLECTION 2023 [GC-01]"
OP01-016_p8,"Nami","[On Play] Look at 5 cards from the top of your deck; reveal
                    up to 1 {Straw Hat Crew} type card other than [Nami] and add
                    it to your hand. Then, place the rest at the bottom of your
                    deck in any order.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-017,"Nico Robin","[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",R,"-ROMANCE DAWN- [OP01]"
OP01-017_p1,"Nico Robin","[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",R,"Premium Card Collection -FILM RED Edition-"
OP01-018,"Hajrudin","-",C,"-ROMANCE DAWN- [OP01]"
OP01-019,"Bartolomeo","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[DON!! x2] [Opponent's Turn] This Character gains +3000 power.",C,"-ROMANCE DAWN- [OP01]"
OP01-020,"Hyogoro","[Activate: Main] You may rest this Character: Up to 1 of your Leader or Character cards gains +2000 power during this turn.",C,"-ROMANCE DAWN- [OP01]"
OP01-021,"Franky","[DON!! x1] This Character can also attack your opponent's active Characters.",UC,"-ROMANCE DAWN- [OP01]"
OP01-021_p1,"Franky","[DON!! x1] This Character can also attack your opponent's active Characters.",UC,"Premium Card Collection -FILM RED Edition-"
OP01-021_p2,"Franky","[DON!! x1] This Character can also attack your opponent'sactive Characters.",UC,"Tournament Pack Vol.2"
OP01-021_p3,"Franky","[DON!! x1] This Character can also attack your opponent'sactive Characters.",UC,"GIFT COLLECTION 2023 [GC-01]"
OP01-022,"Brook","[DON!! x1] [When Attacking] Give up to 2 of your opponent's Characters −2000 power during this turn.",UC,"-ROMANCE DAWN- [OP01]"
OP01-022_p1,"Brook","[DON!! x1] [When Attacking] Give up to 2 of your opponent'sCharacters −2000 power during this turn.",UC,"Premium Card Collection -25th Edition-"
OP01-023,"Marco","-",C,"-ROMANCE DAWN- [OP01]"
OP01-024,"Monkey.D.Luffy","[DON!! x2] This Character cannot be K.O.'d in battle by ＜Strike＞ attribute Characters.<br>[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",SR,"-ROMANCE DAWN- [OP01]"
OP01-024_p1,"Monkey.D.Luffy","[DON!! x2] This Character cannot be K.O.'d in battle by ＜Strike＞  attribute Characters.<br>[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.",SR,"-ROMANCE DAWN- [OP01]"
OP01-024_p2,"Monkey.D.Luffy","[DON!! x2] This Character cannot be K.O.'d in battle by
                    &lt;Strike&gt; attribute Characters.<br>[Activate: Main]
                    [Once Per Turn] Give this Character up to 2 rested DON!!
                    cards.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-024_p3,"Monkey.D.Luffy","[DON!! x2] This Character cannot be K.O.'d in battle by
                    &lt;Strike&gt; attribute Characters.<br>[Activate: Main]
                    [Once Per Turn] Give this Character up to 2 rested DON!!
                    cards.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-025,"Roronoa Zoro","[Rush] (This card can attack on the turn in which it is played.)",SR,"-ROMANCE DAWN- [OP01]"
OP01-025_p1,"Roronoa Zoro","[Rush] (This card can attack on the turn in which it is played.)",SR,"-ROMANCE DAWN- [OP01]"
OP01-025_p2,"Roronoa Zoro","[Rush] (This card can attack on the turn in which it is played.)",SR,"-The Three Captains-[ST-10]"
OP01-026,"Gum-Gum Fire-Fist Pistol Red Hawk","[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, K.O. up to 1 of your opponent's Characters with 4000 power or less.",R,"-ROMANCE DAWN- [OP01]"
OP01-027,"Round Table","[Main] Give up to 1 of your opponent's Characters −10000 power during this turn.",C,"-ROMANCE DAWN- [OP01]"
OP01-028,"Green Star Rafflesia","[Counter] Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",C,"-ROMANCE DAWN- [OP01]"
OP01-029,"Radical Beam!!","[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",UC,"-ROMANCE DAWN- [OP01]"
OP01-029_p1,"Radical Beam!!","[Counter] Up to 1 of your Leader or Character cards gains
                    +2000 power during this battle. Then, if you have 2 or less
                    Life cards, that card gains an additional +2000 power.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-029_p2,"Radical Beam!!","[Counter] Up to 1 of your Leader or Character cards gains
                    +2000 power during this battle. Then, if you have 2 or less
                    Life cards, that card gains an additional +2000 power.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP01-029_p3,"Radical Beam!!","[Counter] Up to 1 of your Leader or Character cards gains
                    +2000 power during this battle. Then, if you have 2 or less
                    Life cards, that card gains an additional +2000 power.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
